Order_ID,Customer_ID,Order_Date,Product_Category,Product_Name,Quantity,Unit_Price,Total_Price,Payment_Type,Delivery_Days,Customer_City
100000,C937,07-01-2023,Sports,Gloves,2,5141,10282,Credit Card,3,Delhi
100001,C770,04-12-2023,Electronics,Phone,3,11208,33624,UPI,3,Chennai
100002,C745,01-05-2023,Home,Chair,3,6272,18816,COD,4,Hyderabad
100003,C877,06-05-2023,Home,Chair,3,14930,44790,COD,6,Hyderabad
100004,C360,10-01-2023,Home,Cookware,5,11123,55615,Credit Card,3,Pune
100005,C194,13-10-2023,Home,Cookware,4,13538,54152,Credit Card,7,Delhi
100006,C125,02-12-2023,Beauty,Perfume,2,2996,5992,UPI,3,Bangalore
100007,C537,22-03-2023,Electronics,Headphones,3,9194,27582,Debit Card,5,Pune
100008,C362,17-04-2023,Electronics,Headphones,4,5284,21136,UPI,5,Bhopal
100009,C605,20-05-2023,Home,Table,3,13771,41313,Debit Card,6,Bangalore
100010,C212,25-05-2023,Home,Table,3,9167,27501,UPI,3,Indore
100011,C591,12-02-2023,Clothing,T-Shirt,3,3492,10476,Debit Card,5,Indore
100012,C763,18-10-2023,Beauty,Face Wash,4,2901,11604,Debit Card,6,Pune
100013,C328,06-02-2023,Beauty,Shampoo,1,8866,8866,UPI,5,Indore
100014,C352,12-06-2023,Electronics,Laptop,3,17458,52374,Credit Card,6,Bangalore
100015,C839,26-11-2023,Electronics,Mouse,2,5188,10376,UPI,5,Bhopal
100016,C544,28-02-2023,Beauty,Perfume,2,15798,31596,Credit Card,5,Mumbai
100017,C992,09-10-2023,Beauty,Shampoo,3,7657,22971,COD,4,Hyderabad
100018,C705,14-01-2023,Beauty,Face Wash,5,3724,18620,Credit Card,5,Bhopal
100019,C968,21-02-2023,Beauty,Perfume,1,16849,16849,Credit Card,6,Chennai
100020,C976,21-03-2023,Home,Cookware,3,8484,25452,COD,2,Bangalore
100021,C962,29-05-2023,Home,Chair,4,12732,50928,COD,6,Bhopal
100022,C980,23-12-2023,Beauty,Perfume,5,14747,73735,COD,5,Bhopal
100023,C878,20-03-2023,Electronics,Mouse,3,19208,57624,UPI,7,Mumbai
100024,C288,23-09-2023,Home,Mixer,3,4190,12570,COD,5,Hyderabad
100025,C830,29-11-2023,Electronics,Phone,2,17813,35626,Debit Card,6,Mumbai
100026,C403,17-01-2023,Electronics,Phone,4,2183,8732,Debit Card,5,Chennai
